Forward Packets	Forward Bytes	Delta Forward Packets	Delta Forward Bytes	Forward Instantaneous Packets per Second	Forward Average Packets per second	Forward Instantaneous Bytes per Second	Forward Average Bytes per second	Reverse Packets	Reverse Bytes	Delta Reverse Packets	Delta Reverse Bytes	DeltaReverse Instantaneous Packets per Second	Reverse Average Packets per second	Reverse Instantaneous Bytes per Second	Reverse Average Bytes per second	Traffic Type
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	dns
7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
6	388	0	0	0.0	0.5454545454545454	0.0	35.27272727272727	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	dns
7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	dns
7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	12	2071	0	0	0.0	1.0909090909090908	0.0	188.27272727272728	dns
13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	dns
7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	dns
7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	dns
13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	dns
7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	dns
7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	dns
17	2407	4	265	4.0	1.3076923076923077	265.0	185.15384615384616	7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	dns
7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	dns
7	454	1	66	1.0	0.5833333333333334	66.0	37.833333333333336	13	2142	1	71	1.0	1.0833333333333333	71.0	178.5	dns
